class, ncloc, cloc, dc, testMethodsLoc, numberOfMethods, numberOfTestMethods, numberOfFunctionalMethods, rfc, wmc, gitFileAge, gitTotCommits
org.jfree.chart.axis.ModuloAxisTest, 31, 59, 0.6555555555555556, 29, 4, 4, 0, 9, 4, January/3/2022/6:42, 6
org.jfree.chart.plot.compass.LongNeedleTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 6, 3, January/3/2022/6:42, 3
org.jfree.chart.renderer.category.ScatterRendererTest, 98, 85, 0.4644808743169399, 76, 7, 6, 1, 23, 11, January/3/2022/6:42, 13
org.jfree.chart.entity.PieSectionEntityTest, 47, 65, 0.5803571428571429, 45, 3, 3, 0, 14, 3, January/3/2022/6:42, 9
org.jfree.chart.block.GridArrangementTest, 144, 124, 0.4626865671641791, 131, 19, 18, 1, 13, 19, January/3/2022/6:42, 8
org.jfree.chart.GanttChartTest, 93, 173, 0.650375939849624, 23, 9, 3, 6, 23, 10, January/3/2022/6:42, 6
org.jfree.chart.plot.dial.DialCapTest, 64, 80, 0.5555555555555556, 62, 4, 4, 0, 17, 4, January/3/2022/6:42, 9
org.jfree.chart.plot.dial.DialTextAnnotationTest, 60, 73, 0.5488721804511278, 58, 4, 4, 0, 18, 4, January/3/2022/6:42, 8
org.jfree.chart.urls.TimeSeriesURLGeneratorTest, 43, 73, 0.6293103448275862, 41, 4, 4, 0, 8, 4, January/3/2022/6:42, 9
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGeneratorTest, 7, 54, 0.8852459016393442, 5, 1, 1, 0, 2, 1, January/1/2022/2:44, 3
org.jfree.chart.renderer.RendererUtilsTest$Anonymous4, 5, 336, 0.9853372434017595, 0, 1, 0, 1, 0, 1, January/3/2022/6:50, 6
org.jfree.chart.renderer.xy.StackedXYBarRendererTest, 64, 90, 0.5844155844155844, 62, 7, 7, 0, 21, 7, January/3/2022/6:42, 13
org.jfree.chart.annotations.XYShapeAnnotationTest, 52, 105, 0.6687898089171974, 50, 5, 5, 0, 9, 5, January/3/2022/6:42, 9
org.jfree.chart.renderer.RendererUtilsTest$Anonymous1, 5, 336, 0.9853372434017595, 0, 1, 0, 1, 0, 1, January/3/2022/6:50, 6
org.jfree.chart.renderer.RendererUtilsTest$Anonymous3, 5, 336, 0.9853372434017595, 0, 1, 0, 1, 0, 1, January/3/2022/6:50, 6
org.jfree.chart.renderer.RendererUtilsTest$Anonymous2, 5, 336, 0.9853372434017595, 0, 1, 0, 1, 0, 1, January/3/2022/6:50, 6
org.jfree.chart.annotations.XYTitleAnnotationTest, 68, 74, 0.5211267605633803, 42, 5, 4, 1, 13, 6, January/3/2022/6:42, 10
org.jfree.chart.XYLineChartTest$LocalListener, 6, 147, 0.9607843137254902, 0, 1, 0, 1, 0, 1, January/3/2022/6:42, 8
org.jfree.chart.plot.MarkerTest, 211, 155, 0.42349726775956287, 204, 15, 14, 1, 38, 23, January/3/2022/6:42, 10
org.jfree.chart.renderer.category.LayeredBarRendererTest, 55, 81, 0.5955882352941176, 41, 6, 5, 1, 16, 7, January/3/2022/6:42, 13
org.jfree.chart.renderer.category.WaterfallBarRendererTest, 58, 114, 0.6627906976744186, 56, 6, 6, 0, 16, 6, January/3/2022/6:42, 11
org.jfree.chart.TestUtils, 97, 74, 0.4327485380116959, 67, 3, 1, 2, 35, 8, January/3/2022/6:57, 10
org.jfree.chart.labels.ItemLabelPositionTest, 12, 55, 0.8208955223880597, 10, 2, 2, 0, 2, 2, January/1/2022/2:44, 5
org.jfree.chart.XYBarChartTest$LocalListener, 6, 150, 0.9615384615384616, 0, 1, 0, 1, 0, 1, January/3/2022/6:42, 8
org.jfree.chart.axis.NumberAxisTest, 179, 178, 0.49859943977591037, 176, 12, 12, 0, 31, 12, January/3/2022/6:42, 13
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRendererTest, 65, 85, 0.5666666666666667, 49, 6, 5, 1, 20, 7, January/3/2022/6:42, 13
org.jfree.chart.axis.ExtendedCategoryAxisTest, 65, 72, 0.5255474452554745, 63, 5, 5, 0, 14, 5, January/3/2022/6:42, 7
org.jfree.chart.plot.CombinedDomainCategoryPlotTest, 129, 113, 0.4669421487603306, 42, 9, 5, 4, 28, 9, January/3/2022/6:42, 11
org.jfree.chart.block.FlowArrangementTest, 33, 67, 0.67, 31, 3, 3, 0, 4, 3, January/3/2022/6:42, 8
org.jfree.chart.renderer.xy.DeviationRendererTest, 36, 64, 0.64, 34, 5, 5, 0, 10, 5, January/3/2022/6:42, 8
org.jfree.chart.axis.DateAxisTest$MyDateAxis, 9, 1036, 0.9913875598086125, 0, 2, 0, 2, 1, 2, January/3/2022/6:42, 14
org.jfree.chart.legend.LegendGraphicTest, 101, 95, 0.4846938775510204, 99, 5, 5, 0, 28, 5, January/3/2022/6:42, 6
org.jfree.chart.annotations.XYPointerAnnotationTest, 76, 81, 0.5159235668789809, 74, 5, 5, 0, 19, 5, January/3/2022/6:42, 9
org.jfree.chart.renderer.xy.XYSplineRendererTest, 50, 69, 0.5798319327731093, 48, 5, 5, 0, 13, 5, January/3/2022/6:42, 10
org.jfree.chart.axis.CategoryLabelPositionsTest, 38, 123, 0.7639751552795031, 34, 3, 3, 0, 5, 3, January/3/2022/6:42, 8
org.jfree.chart.plot.XYPlotTest, 865, 387, 0.30910543130990414, 793, 47, 42, 5, 101, 55, January/3/2022/7:07, 25
org.jfree.chart.plot.dial.MyDialLayerChangeListener, 6, 52, 0.896551724137931, 0, 2, 0, 2, 0, 2, January/1/2022/2:44, 2
org.jfree.chart.axis.DateTickUnitTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 3, 3, January/3/2022/6:42, 7
org.jfree.chart.axis.QuarterDateFormatTest, 41, 71, 0.6339285714285714, 39, 4, 4, 0, 9, 4, January/3/2022/6:42, 6
org.jfree.chart.renderer.xy.XYAreaRenderer2Test, 93, 86, 0.48044692737430167, 68, 7, 6, 1, 22, 8, January/3/2022/6:42, 12
org.jfree.chart.plot.dial.DialPlotTest, 151, 97, 0.3911290322580645, 145, 10, 9, 1, 22, 10, January/3/2022/6:42, 9
